"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Single-select groups render real radio inputs sharing one name: choosing a second option deselects the first.","3909","TC-190: a maxSelections=1 group behaves as a radio — picking B replaces A","customer","2026-07-27","passed","2026-07-27","Customer — Item Modifiers","","",""
"Applying a freshly purchased, fully-funded gift card at checkout shows the 'Gift card applied' discount summary in the Gift Card box.","2822","TC-171: a valid gift card applied at checkout shows the discount","customer","2026-07-27","passed","2026-07-27","Customer — Checkout gift card","","",""
"With the deal auto-added but its slot unfilled, the checkout proceed button is disabled and labeled 'Complete Deals to Continue'.","3436","TC-196: an incomplete deal blocks checkout with 'Complete Deals to Continue'","customer","2026-07-27","passed","2026-07-27","Customer — Deals","","",""
"The frontend doesn't gate gift-card redemption on whether a coupon is already applied (or vice versa) — both discounts show simultaneously. This documents currently-supported behavior; it does not touch the separate canCombineWithCoupons config flag, which isn't enforced by either side today (see TEST_COVERAGE.md's Known Technical Debt).","5656","TC-176: a coupon and a gift card can both be applied to the same order","customer","2026-07-27","passed","2026-07-27","Customer — Checkout gift card","","",""
"A customer landing on /checkout without anything in the cart gets the 'Your Cart is Empty' screen instead of the checkout form.","2505","TC-185: /checkout with an empty cart shows the empty-cart message","customer","2026-07-27","passed","2026-07-27","Customer — Checkout","","",""
"A gift card funded below the order total covers only part of the charge — the customer still pays the remainder via Stripe, and the order completes normally.","14567","TC-178: a gift card that partially covers the order still requires Stripe payment for the remainder","customer","2026-07-27","passed","2026-07-27","Customer — Checkout gift card","","",""
"Typing a custom amount above the restaurant's configured maximum shows an inline error and does not advance to payment.","4569","TC-168: a custom amount above the maximum is rejected","customer","2026-07-27","passed","2026-07-27","Customer — Gift Cards","","",""
"A FREE_DELIVERY coupon with a $1 fee cap on a delivery order whose fee exceeds $1: only $1 is waived, so the order total drops by exactly the cap (not the whole fee) and the fee row does not read 'Free'. Skips cleanly on the same external-dependency conditions as TC-215.","15362","TC-218: a fee cap limits the waiver to the capped amount","customer","2026-07-27","skipped","2026-07-27","Customer — Free-delivery coupon","","",""
"","1","TC-165: guest purchases a gift card as a Send-as-Gift preset denomination","customer","2026-07-27","skipped","2026-07-27","Customer — Gift Cards","","",""
"A gift card frozen by an admin is rejected at checkout with a 'frozen' error.","3802","TC-175: a frozen gift card is rejected","customer","2026-07-27","passed","2026-07-27","Customer — Checkout gift card","","",""
"Selecting an allowsDuplicates modifier reveals its Qty stepper; bumping quantity to 2 doubles that modifier's contribution ($10.00 + 2 × $1.50 = $13.00).","3285","TC-194: an allowsDuplicates modifier's quantity stepper multiplies its price","customer","2026-07-27","passed","2026-07-27","Customer — Item Modifiers","","",""
"The customer coupon-redemption path (previously untested): applying the seeded percentage coupon at checkout shows the discount in the order summary; a bogus code is rejected with an error and no discount.","5618","TC-125: a valid coupon applied at checkout shows the discount, an invalid one is rejected","customer","2026-07-27","passed","2026-07-27","Customer — Checkout coupon & delivery","","",""
"Full happy path: pre-seeded cart → fill form → Proceed to Payment → fill Stripe VISA test card → Complete Order → Order Confirmed page.","12858","TC-26: customer can complete a full order with Stripe test card and reach Order Confirmed","customer","2026-07-27","passed","2026-07-27","Customer — Order Placement","","",""
"Unauthenticated customer navigates to /menu?restaurantId=<id> and the page loads.","1407","TC-22: customer can reach the menu page for the seed restaurant","customer","2026-07-27","passed","2026-07-27","Customer — Menu Browsing","","",""
"","1","TC-166: guest purchases a gift card with a custom amount","customer","2026-07-27","skipped","2026-07-27","Customer — Gift Cards","","",""
"Quote-wiring coverage for delivery (not a full delivery order — that needs QA's delivery provider + a deliverable address): selecting Delivery and entering an address fires /api/delivery/quote and the UI resolves to either an available fee or a not-available message. Skips cleanly when the restaurant is pickup-only or Google Places yields no suggestion (external dependency).","14247","TC-126: selecting Delivery drives the address → quote round-trip","customer","2026-07-27","skipped","2026-07-27","Customer — Checkout coupon & delivery","","",""
"Select Delivery, resolve a fee quote, then apply the free-delivery code: the coupon applies and the order summary shows the delivery fee waived ('Free'). Skips cleanly when the restaurant is pickup-only, Google Places yields no suggestion, or delivery is not available at the address (external dependencies, mirroring TC-126).","15682","TC-215: on a delivery order the code waives the fee and shows Free","customer","2026-07-27","skipped","2026-07-27","Customer — Free-delivery coupon","","",""
"Cart is injected via sessionStorage; customer navigates to /checkout and sees the customer info form.","2800","TC-24: customer with pre-seeded cart can reach checkout and see the form","customer","2026-07-27","passed","2026-07-27","Customer — Checkout","","",""
"Typing a custom amount below the restaurant's configured minimum shows an inline error and does not advance to payment.","3368","TC-167: a custom amount below the minimum is rejected","customer","2026-07-27","passed","2026-07-27","Customer — Gift Cards","","",""
