"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"A maxSelections=2 checkbox group: after two selections the third, unchecked option is disabled (and un-checking frees it again).","1924","TC-191: maxSelections caps a multi-select group — remaining options disable at the cap","customer","2026-08-09","passed","2026-08-09","Customer — Item Modifiers","","",""
"Checking the balance of a code that doesn't exist shows 'Card not found or invalid code'.","2131","TC-170: balance check shows not-found for a nonexistent code","customer","2026-08-09","passed","2026-08-09","Customer — Gift Cards","","",""
"Typing a custom amount below the restaurant's configured minimum shows an inline error and does not advance to payment.","1725","TC-167: a custom amount below the minimum is rejected","customer","2026-08-09","passed","2026-08-09","Customer — Gift Cards","","",""
"Applying a freshly purchased, fully-funded gift card at checkout shows the 'Gift card applied' discount summary in the Gift Card box.","2436","TC-171: a valid gift card applied at checkout shows the discount","customer","2026-08-09","passed","2026-08-09","Customer — Checkout gift card","","",""
"A minSelections=1 group with no default: the group shows its Required pill and Add to Cart stays disabled; picking an option enables it.","2055","TC-189: a required modifier group blocks Add to Cart until a selection is made","customer","2026-08-09","passed","2026-08-09","Customer — Item Modifiers","","",""
"With a $0.25 item (server-quoted total lands between $0.01 and $0.49), checkout disables the proceed button — label 'Minimum $0.50 Required' — and shows the explainer banner. No order is created.","3077","TC-188: a quoted total under Stripe's $0.50 minimum blocks payment","customer","2026-08-09","passed","2026-08-09","Customer — Checkout Stripe minimum","","",""
"A gift card whose balance has been adjusted down to $0 (admin) is rejected at checkout with a 'no remaining balance' error.","2942","TC-174: a depleted gift card is rejected","customer","2026-08-09","passed","2026-08-09","Customer — Checkout gift card","","",""
"Full happy path: pre-seeded cart → fill form → Proceed to Payment → fill Stripe VISA test card → Complete Order → Order Confirmed page.","11642","TC-26: customer can complete a full order with Stripe test card and reach Order Confirmed","customer","2026-08-09","passed","2026-08-09","Customer — Order Placement","","",""
"Unauthenticated customer navigates to /menu?restaurantId=<id> and the page loads.","1315","TC-22: customer can reach the menu page for the seed restaurant","customer","2026-08-09","passed","2026-08-09","Customer — Menu Browsing","","",""
"Customer fills First Name, Last Name, Email, Phone, selects Pickup, and clicks Proceed to Payment. Stripe payment section appears.","6173","TC-25: customer can fill checkout form and proceed to payment step","customer","2026-08-09","passed","2026-08-09","Customer — Checkout","","",""
"A customer landing on /checkout without anything in the cart gets the 'Your Cart is Empty' screen instead of the checkout form.","1340","TC-185: /checkout with an empty cart shows the empty-cart message","customer","2026-08-09","passed","2026-08-09","Customer — Checkout","","",""
"After applying a gift card, clicking Remove clears the 'Gift card applied' summary and returns to the code-entry state.","2542","TC-172: removing an applied gift card clears the discount","customer","2026-08-09","passed","2026-08-09","Customer — Checkout gift card","","",""
"With a deal in the cart, attempting to apply any coupon code is blocked client-side with 'Cannot combine coupons with deals' — the check fires before validation, so no seeded coupon is needed.","3388","TC-197: a coupon cannot be combined with a deal in the cart","customer","2026-08-09","passed","2026-08-09","Customer — Deals","","",""
"Customer clicks the seed menu item card, the item modal opens, and the Add to Cart button is visible.","3680","TC-23: customer can open the seed menu item modal and see Add to Cart button","customer","2026-08-09","passed","2026-08-09","Customer — Menu Browsing","","",""
"A FREE_DELIVERY coupon with a $1 fee cap on a delivery order whose fee exceeds $1: only $1 is waived, so the order total drops by exactly the cap (not the whole fee) and the fee row does not read 'Free'. Skips cleanly on the same external-dependency conditions as TC-215.","14337","TC-218: a fee cap limits the waiver to the capped amount","customer","2026-08-09","skipped","2026-08-09","Customer — Free-delivery coupon","","",""
"Base $10.00 item + $1.50 ADJUSTS_PRICE add-on → the Add to Cart label's live price reads $11.50.","1889","TC-192: an ADJUSTS_PRICE modifier adds its price to the item total","customer","2026-08-09","passed","2026-08-09","Customer — Item Modifiers","","",""
"FREE_DELIVERY is delivery-only: applying the code while the order is Pickup sends serviceType to validate and the backend rejects it with a delivery-only message — no discount, no $0.00 'saving'.","2024","TC-214: a free-delivery code is rejected on a pickup order","customer","2026-08-09","passed","2026-08-09","Customer — Free-delivery coupon","","",""
"The customer coupon-redemption path (previously untested): applying the seeded percentage coupon at checkout shows the discount in the order summary; a bogus code is rejected with an error and no discount.","4734","TC-125: a valid coupon applied at checkout shows the discount, an invalid one is rejected","customer","2026-08-09","passed","2026-08-09","Customer — Checkout coupon & delivery","","",""
"The frontend doesn't gate gift-card redemption on whether a coupon is already applied (or vice versa) — both discounts show simultaneously. This documents currently-supported behavior; it does not touch the separate canCombineWithCoupons config flag, which isn't enforced by either side today (see TEST_COVERAGE.md's Known Technical Debt).","2874","TC-176: a coupon and a gift card can both be applied to the same order","customer","2026-08-09","passed","2026-08-09","Customer — Checkout gift card","","",""
"The margin guardrail: a FREE_DELIVERY coupon carries a minimum order. Applying it to a cart below that minimum is rejected with the 'Order must be at least $X' message — the waiver never applies to a tiny order.","1615","TC-217: a free-delivery code below its minimum order is rejected","customer","2026-08-09","passed","2026-08-09","Customer — Free-delivery coupon","","",""
"Selecting an allowsDuplicates modifier reveals its Qty stepper; bumping quantity to 2 doubles that modifier's contribution ($10.00 + 2 × $1.50 = $13.00).","2136","TC-194: an allowsDuplicates modifier's quantity stepper multiplies its price","customer","2026-08-09","passed","2026-08-09","Customer — Item Modifiers","","",""
"Filling in a Stripe DECLINED test card and clicking Complete Order shows a Payment Error on the checkout page instead of reaching Order Confirmed.","9723","TC-64: a declined card shows a payment error and does not place the order","customer","2026-08-09","passed","2026-08-09","Customer — Order Placement","","",""
"Single-select groups render real radio inputs sharing one name: choosing a second option deselects the first.","2479","TC-190: a maxSelections=1 group behaves as a radio — picking B replaces A","customer","2026-08-09","passed","2026-08-09","Customer — Item Modifiers","","",""
"Typing a custom amount above the restaurant's configured maximum shows an inline error and does not advance to payment.","1713","TC-168: a custom amount above the maximum is rejected","customer","2026-08-09","passed","2026-08-09","Customer — Gift Cards","","",""
"With the deal auto-added but its slot unfilled, the checkout proceed button is disabled and labeled 'Complete Deals to Continue'.","2700","TC-196: an incomplete deal blocks checkout with 'Complete Deals to Continue'","customer","2026-08-09","passed","2026-08-09","Customer — Deals","","",""
"REPLACES_PRICE size group on a $10.00 item: the default Small ($8.00) prices the item at $8.00; switching to Large reprices to $12.00 — the base price is replaced, not adjusted.","1881","TC-193: a REPLACES_PRICE modifier overrides the base price","customer","2026-08-09","passed","2026-08-09","Customer — Item Modifiers","","",""
"The one true end-to-end cart path: open the item modal, click Add to Cart, open the cart via the floating View Cart button, and click through to /checkout. Every other checkout test seeds the cart via sessionStorage for speed — this test is the safety net that the real add-to-cart wiring (and the cart storage schema seedCart mimics) actually works.","4615","TC-99: customer can add an item to the cart and reach checkout through the real UI flow","customer","2026-08-09","passed","2026-08-09","Customer — Menu Browsing","","",""
"The owner turns ON pass-processing-fee for the restaurant (server-side). The template-wind checkout order summary then shows a server-authoritative 'Processing Fee' line and the quoted Total rises above the fee-OFF baseline. Proves the flag → /quote → customer display round-trip end-to-end. The fee is always restored to OFF in a finally (shared QA restaurant).","2626","TC-222: enabling the processing fee adds a Processing Fee line and raises the wind checkout total","customer","2026-08-09","passed","2026-08-09","Customer — Processing fee pass-through","","",""
"MenuPage's landing-page deep link: /menu?restaurantId=<id>&item=<itemId> auto-opens the item modal (and scrolls to its group) once the menu loads — no card click needed.","1725","TC-184: the ?item= deep link auto-opens that item's modal","customer","2026-08-09","passed","2026-08-09","Customer — Menu Browsing","","",""
"A gift card funded below the order total covers only part of the charge — the customer still pays the remainder via Stripe, and the order completes normally.","12819","TC-178: a gift card that partially covers the order still requires Stripe payment for the remainder","customer","2026-08-09","passed","2026-08-09","Customer — Checkout gift card","","",""
"A minOrderAmount coupon applies while two cart lines clear the minimum; removing one line triggers CouponSection's debounced revalidation, the backend 400s ('Order must be at least $X'), and the coupon is auto-removed with an explanatory error.","4736","TC-187: a coupon is auto-removed when the cart drops below its minimum order amount","customer","2026-08-09","passed","2026-08-09","Customer — Checkout coupon revalidation","","",""
"Cart is injected via sessionStorage; customer navigates to /checkout and sees the customer info form.","2573","TC-24: customer with pre-seeded cart can reach checkout and see the form","customer","2026-08-09","passed","2026-08-09","Customer — Checkout","","",""
"Applying a code that doesn't exist shows an error and no discount is applied.","2265","TC-173: an invalid gift card code is rejected","customer","2026-08-09","passed","2026-08-09","Customer — Checkout gift card","","",""
"Select Delivery, resolve a fee quote, then apply the free-delivery code: the coupon applies and the order summary shows the delivery fee waived ('Free'). Skips cleanly when the restaurant is pickup-only, Google Places yields no suggestion, or delivery is not available at the address (external dependencies, mirroring TC-126).","14586","TC-215: on a delivery order the code waives the fee and shows Free","customer","2026-08-09","skipped","2026-08-09","Customer — Free-delivery coupon","","",""
"","1","TC-166: guest purchases a gift card with a custom amount","customer","2026-08-09","skipped","2026-08-09","Customer — Gift Cards","","",""
"Tip is client-selected but the charged total is the server quote (amountToCharge): raising the tip preset raises the quoted Total, zeroing it via the custom input lowers it. Proves the tip → /quote round-trip, with no assumptions about tax math.","3088","TC-186: tip presets and custom tip flow into the server-quoted total","customer","2026-08-09","passed","2026-08-09","Customer — Checkout","","",""
"Quote-wiring coverage for delivery (not a full delivery order — that needs QA's delivery provider + a deliverable address): selecting Delivery and entering an address fires /api/delivery/quote and the UI resolves to either an available fee or a not-available message. Skips cleanly when the restaurant is pickup-only or Google Places yields no suggestion (external dependency).","12468","TC-126: selecting Delivery drives the address → quote round-trip","customer","2026-08-09","skipped","2026-08-09","Customer — Checkout coupon & delivery","","",""
"","0","TC-177: a gift card that fully covers the order completes without a Stripe step","customer","2026-08-09","skipped","2026-08-09","Customer — Checkout gift card","","",""
"","1","TC-169: balance check shows the correct balance for a freshly purchased card","customer","2026-08-09","skipped","2026-08-09","Customer — Gift Cards","","",""
"A gift card frozen by an admin is rejected at checkout with a 'frozen' error.","2406","TC-175: a frozen gift card is rejected","customer","2026-08-09","passed","2026-08-09","Customer — Checkout gift card","","",""
"","3","TC-165: guest purchases a gift card as a Send-as-Gift preset denomination","customer","2026-08-09","skipped","2026-08-09","Customer — Gift Cards","","",""
"Opening /deals/<id> auto-adds the deal to the cart and shows per-slot progress ('0 of 1 items added'); picking the slot item via 'Add to Deal' completes it ('Deal Complete!') and checkout offers the normal Proceed to Payment button.","3335","TC-195: the deal builder auto-adds the deal and completing its slot enables checkout","customer","2026-08-09","passed","2026-08-09","Customer — Deals","","",""
