"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"The restaurant created in globalSetup appears as a card on the list page.","2852","TC-14: seed restaurant card is visible with the correct restaurant name","dashboard","2026-07-31","passed","2026-07-31","Owner — My Restaurants List","","",""
"Opening Edit on a coupon loads its current code/value into the form (read-only pre-fill check — does not submit).","16187","TC-162: Edit pre-fills the form with the coupon's existing values","dashboard","2026-07-31","passed","2026-07-31","Owner — Coupons","","",""
"A customer order (seeded via the public order API at its real menu price, bumped to PENDING — no Stripe) appears in the restaurant's live current-orders feed, and can be driven PENDING → CONFIRMED → PREPARING → READY → PICKED_UP with each transition confirmed at the API source of truth.","1538","TC-100: a placed order is received on the POS and driven through the full lifecycle","pos","2026-07-31","passed","2026-07-31","POS — Order Lifecycle","","",""
"","0","TC-166: guest purchases a gift card with a custom amount","customer","2026-07-31","skipped","2026-07-31","Customer — Gift Cards","","",""
"Toggling one program row persists that enrollment only (verified via API — the other programs keep their state); restored afterwards.","4136","TC-208: a single program can be paused without touching the others","dashboard","2026-07-31","passed","2026-07-31","Owner — Automated Marketing","","",""
"","128","TC-179: current-orders + status reject an unauthenticated caller","pos","2026-07-31","skipped","2026-07-31","POS — Order Lifecycle","","",""
"POST /restaurant/new with the seed OWNER's token is rejected — restaurant creation requires a permission this account doesn't hold, confirming the API enforces it (not just the UI).","396","TC-79: a restaurant owner without CREATE_RESTAURANT permission cannot self-serve create one","dashboard","2026-07-31","passed","2026-07-31","API — Negative cases","","",""
"","4626","TC-107: search finds a user by email","dashboard","2026-07-31","passed","2026-07-31","Admin — User Management > List, search & filter","","",""
"","3","TC-58: employee can reach menu management","dashboard","2026-07-31","skipped","2026-07-31","Access — Restaurant management (shared screens)","","",""
"With serviceType DELIVERY and a fee above the cap, validate returns a deliveryDiscount limited to the coupon's $5 cap and echoes the cap — the values the POS renders as the waived-fee line.","84","TC-219: validate returns the capped waiver + cap for a DELIVERY order","pos","2026-07-31","passed","2026-07-31","POS — Free-delivery coupon (validate contract)","","",""
"","5749","TC-110: status filter narrows the list","dashboard","2026-07-31","passed","2026-07-31","Admin — User Management > List, search & filter","","",""
"","5370","TC-114: the side sheet can be closed","dashboard","2026-07-31","passed","2026-07-31","Admin — User Management > Detail side sheet","","",""
"The create form has no client-side uniqueness check, so a second coupon with the same code reaches the API and is rejected there (backend enforces per-restaurant code uniqueness).","6961","TC-151: a duplicate coupon code on the same restaurant is rejected","dashboard","2026-07-31","passed","2026-07-31","Owner — Coupons","","",""
"Permissions are discovered at runtime: the test grants whatever the Add dialog currently offers, never a hardcoded permission name.","7033","TC-118: admin can add then remove a user-specific permission","dashboard","2026-07-31","passed","2026-07-31","Admin — User Management > Permissions tab","","",""
"","2303","TC-57: admin can reach menu management","dashboard","2026-07-31","passed","2026-07-31","Access — Restaurant management (shared screens)","","",""
"Select Delivery, resolve a fee quote, then apply the free-delivery code: the coupon applies and the order summary shows the delivery fee waived ('Free'). Skips cleanly when the restaurant is pickup-only, Google Places yields no suggestion, or delivery is not available at the address (external dependencies, mirroring TC-126).","15227","TC-215: on a delivery order the code waives the fee and shows Free","customer","2026-07-31","skipped","2026-07-31","Customer — Free-delivery coupon","","",""
"","0","TC-18: employee can set a tax rate and save — change persists","dashboard","2026-07-31","skipped","2026-07-31","Employee — Tax Settings","","",""
