"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4167","TC-103: submit is disabled until a role is selected","dashboard","2026-08-28","passed","2026-08-28","Admin — User Management > Invite dialog","","",""
"The order-detail sheet's status control is a single forward-only 'Mark as {next status}' button (OrderDetailsDialog.tsx's getNextStatus()), not a dropdown — clicking it PUTs /api/order/orderId/:id/status and the button advances to the next status in the sequence.","5698","TC-224: owner advances an order's status via Mark as X","dashboard","2026-08-28","passed","2026-08-28","Owner — Orders Tab","","",""
"At A: star the shared item → PATCH …/featured → B's Menu tab lists it under Featured Items too; star the location-only item → only A's Featured accordion has it. Both un-starred afterwards.","7953","TC-316: featuring a shared item at one location is chain-wide; a local item stays local","dashboard","2026-08-28","passed","2026-08-28","Owner — Chain menu (per-location overrides, shared vs local)","","",""
"PATCH …/tab/table {tableName} upserts the destination table by name (zero-config, same rule as open) and moves tableId + tableNumber; GET /tables shows the check under the destination and no longer under the source.","824","TC-376: transferring the check to another table re-stamps it and the grid follows","pos","2026-08-28","passed","2026-08-28","POS — Table Service Open Checks","","",""
"A minSelections=1 group with no default: the group shows its Required pill and Add to Cart stays disabled; picking an option enables it.","2737","TC-189: a required modifier group blocks Add to Cart until a selection is made","customer","2026-08-28","passed","2026-08-28","Customer — Item Modifiers","","",""
"On a freshly created (menu-less) restaurant assigned to the owner, the Menu tab shows 'No menu data available' with an 'Open menu builder' CTA that lands on the builder route (/restaurant/restaurantId/:id, scope bar 'Editing menu for: <name>'). NOTE: the builder page is CreateStore's data-driven wizard — a restaurant with no business hours shows its Business Hours step before the menu step, so either that or the builder's 'No categories yet' empty state is accepted. Throwaway restaurant is created + assigned via the admin API and deleted afterwards.","7106","TC-293: a restaurant with no menu shows the empty state that opens the builder","dashboard","2026-08-28","passed","2026-08-28","Owner — Menu tab (availability / featured)","","",""
"","2","TC-303: Delete is blocked with a 'Cannot Delete This Item' dialog while an active deal uses the item","dashboard","2026-08-28","skipped","2026-08-28","Owner — Menu builder, item wizard & item detail","","",""
"Backing out of the cancel dialog must be free of side effects: no cancel request is sent, the nested dialog closes and the sheet still offers Cancel Order.","5553","TC-247: 'Keep Order' closes the cancel dialog without cancelling","dashboard","2026-08-28","passed","2026-08-28","Owner — Orders Tab","","",""
"","4333","TC-05: admin can open the action menu on a demo row","dashboard","2026-08-28","passed","2026-08-28","Admin — Demo Request Actions","","",""
"At A's builder, 'Add <shared category> Item' → dialog 'Who is this item for?' → 'Just this store' → wizard at ?ownerOnly=1 with the banner 'This item is for this location only…' → save → the item is listed at A with the 'This location only' chip / 'Only here' badge and is absent from B and from the chain shell; 'All my stores' → no ownerOnly, item present at both.","15747","TC-314: 'Who is this item for?' — Just this store creates a location-only item invisible to B","dashboard","2026-08-28","passed","2026-08-28","Owner — Chain menu (per-location overrides, shared vs local)","","",""
"Exact 400/404 strings from dealController.createDeal, in evaluation order: required fields → price > 0 → validTimeStart regex → validTimeEnd regex → restaurant exists.","1498","TC-326: create validation — missing fields, non-positive price, bad HH:MM, unknown restaurant","dashboard","2026-08-28","passed","2026-08-28","Owner — Deals API contract","","",""
"Clicking Store Settings in the portal sidebar appends ?tab=Store%20Settings to the URL.","4398","TC-16: owner can navigate to Store Settings via the sidebar","dashboard","2026-08-28","passed","2026-08-28","Owner — Restaurant Management Portal","","",""
"","6469","TC-110: status filter narrows the list","dashboard","2026-08-28","passed","2026-08-28","Admin — User Management > List, search & filter","","",""
"The toolbar's refresh icon re-issues the management GET (there is no auto-refresh on this tab).","4242","TC-239: the Refresh button re-fetches the orders list","dashboard","2026-08-28","passed","2026-08-28","Owner — Orders Tab","","",""
"Filling the coupon code, discount value, start and end dates and clicking Create Coupon shows a success toast.","6334","TC-31: owner can fill and submit a new coupon","dashboard","2026-08-28","passed","2026-08-28","Owner — Coupons","","",""
"Add-item wizard, Basic Information: 1-char name → 'at least 2 characters'; price 0 → 'at least $0.01' (the QA build says 'Price must be positive' — both accepted); price 10000 → 'cannot exceed $9,999.99'; 501-char description → 'cannot exceed 500 characters'; Next stays disabled while any error is present and enables once all fields are valid.","5049","TC-295: wizard step 0 enforces name length, price bounds and description length","dashboard","2026-08-28","passed","2026-08-28","Owner — Menu builder, item wizard & item detail","","",""
"Opening the Add Item wizard and blurring name/price with both left blank shows inline required-field errors and keeps the Next button disabled.","7110","TC-62: menu item wizard blocks Next when name and price are blank","dashboard","2026-08-28","passed","2026-08-28","Owner — Menu Management > Category and item CRUD","","",""
"","6078","TC-113: OWNER detail exposes all tabs incl. read-only Restaurants","dashboard","2026-08-28","passed","2026-08-28","Admin — User Management > Detail side sheet","","",""
"Cart is injected via sessionStorage; customer navigates to /checkout and sees the customer info form.","2256","TC-24: customer with pre-seeded cart can reach checkout and see the form","customer","2026-08-28","passed","2026-08-28","Customer — Checkout","","",""
"Owner clicks Edit Item on an existing menu item, updates name and price in the wizard, and verifies the success toast.","11740","TC-43: owner can edit a menu item name and price","dashboard","2026-08-28","passed","2026-08-28","Owner — Menu Management > Category and item CRUD","","",""
"Clicking Owner Settings in the sidebar loads the settings view: the title, both sub-tabs (Automated Reports / Notifications), and — once the settings fetch resolves — the Automated Business Reports section, its Schedule, and the Save Settings button. Read-only: no toggle is flipped and nothing is saved, so the shared QA owner account's real report config is untouched.","4667","TC-139: owner can open Owner Settings and see the Automated Reports form","dashboard","2026-08-28","passed","2026-08-28","Owner — Owner Settings Tab","","",""
"Typing a substring of a coupon's description into the search box also matches that coupon.","5949","TC-154: Manage Coupons search filters by description","dashboard","2026-08-28","passed","2026-08-28","Owner — Coupons","","",""
"Status update (both PUT variants), cancel and refund already called assertControlsOrderRestaurant before #621 — they were the positive controls in the original finding. Pin them too: an intruder gets 403 on every mutating path and the order is left untouched (still CONFIRMED for the real owner).","754","TC-229: mutating order endpoints keep enforcing ownership (positive control)","dashboard","2026-08-28","passed","2026-08-28","Owner — Orders API auth & tenant isolation","","",""
"POST /api/deals/restaurant/:id with Burger ×2 + Fries at dealPrice 20 → 201. originalPrice = 26.50 (2×10 + 6.50), savingsAmount 6.50, savingsPercentage 24.5 (1 dp), status ACTIVE, imageUrl null (the image is generated by a worker later), and the qty-2 slot is stored as TWO qty-1 DealItem rows (the platform-wide 'one row per unit' invariant) with sortOrder preserved.","1033","TC-325: create computes the money fields server-side, defaults to ACTIVE and splits quantity into qty-1 slots","dashboard","2026-08-28","passed","2026-08-28","Owner — Deals API contract","","",""
"Clicking Analytics in the portal sidebar loads the Restaurant Analytics dashboard: title, refresh control, and the date-range selector are all present.","14293","TC-35: owner can open the Analytics tab and see the dashboard header","dashboard","2026-08-28","failed","2026-08-28","Owner — Analytics Tab","","",""
"LEGAL_TRANSITIONS has no BOOKED -> COMPLETED edge (only PARTIALLY_SEATED/SEATED -> COMPLETED) — attempting `complete` straight from BOOKED → 400 RESERVATION_INVALID_TRANSITION.","524","TC-416: status transition refusal — complete on a never-seated BOOKED reservation is illegal","pos","2026-08-28","passed","2026-08-28","POS — Reservation Lifecycle (tablet host stand)","","",""
"settle-cash: cashTendered=15 against a $10 leg → cashChange 5. cashTendered=5 against a $10 leg → 400 (cashTendered checked BEFORE the drawer gate, so this fires on its own input validation).","1207","TC-429: cash math — cashTendered over the amount computes exact change; under the amount is refused","pos","2026-08-28","passed","2026-08-28","POS — Register / Cash Drawer","","",""
"","643","TC-345: chain routes are the positive control — a non-owner gets 403 on /api/chains/:gid/deals","dashboard","2026-08-28","passed","2026-08-28","Owner — Deals API contract > authorization — another owner (the seed OWNER) against this tenant's deals","","",""
