"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"The Orders tab offers an Export action so owners can pull their orders out for reporting/accounting.","3233","TC-135: the Orders toolbar exposes an Export control","dashboard","2026-08-18","passed","2026-08-18","Owner — Orders Tab","","",""
"Typing a custom amount below the restaurant's configured minimum shows an inline error and does not advance to payment.","2373","TC-167: a custom amount below the minimum is rejected","customer","2026-08-18","passed","2026-08-18","Customer — Gift Cards","","",""
"At A, edit the shared item's name in the wizard and save → PUT …/changes; the new name shows on BOTH locations' Menu tabs (shared row = one MenuItem). If the build shows the 'Heads up — chain-wide change' fan-out confirm it is accepted (Continue) — the QA build at the time of writing did not.","14963","TC-313: editing a shared item at one location fans out to every location","dashboard","2026-08-18","passed","2026-08-18","Owner — Chain menu (per-location overrides, shared vs local)","","",""
"Seed dedup regression: after renewals + container-restart seeds, each recurring holiday exists exactly once (the original bug re-created current-year duplicates pointing at expired coupons).","165","TC-199: recurring holiday events are never duplicated across years","dashboard","2026-08-18","passed","2026-08-18","Admin — Marketing campaign events","","",""
"Clicking Customers in the portal sidebar loads the customer directory: the sub-tabs (All Customers / Customer Groups), the search field, and the Total Customers stat are all present.","2309","TC-136: owner can open the Customers tab and see the directory @smoke","dashboard","2026-08-18","passed","2026-08-18","Owner — Customers Tab","","",""
"","535","TC-285: another owner must not create into, or delete, our category","dashboard","2026-08-18","passed","2026-08-18","Owner — Menu API contract > authorization — a second owner against our menu","","",""
"Customer Info renders name, phone and email from the order's contact snapshot; a guest order with no contact falls back to 'Guest' and 'N/A'.","5262","TC-242: the Customer Info tab shows the order's contact snapshot, or Guest / N/A when absent","dashboard","2026-08-18","passed","2026-08-18","Owner — Orders Tab","","",""
"Delete opens a typed-word confirmation dialog; confirming removes the coupon from both the table and the API.","4006","TC-160: owner can delete a coupon via the typed-confirmation dialog","dashboard","2026-08-18","passed","2026-08-18","Owner — Coupons","","",""
"After applying a gift card, clicking Remove clears the 'Gift card applied' summary and returns to the code-entry state.","1954","TC-172: removing an applied gift card clears the discount","customer","2026-08-18","passed","2026-08-18","Customer — Checkout gift card","","",""
"While a search term is set the date range is ignored server-side; the toolbar says so with an info banner and a Clear Search action. Clearing re-queries WITHOUT ?search= and WITH the startDate/endDate pair again, hides the banner and empties the input.","3999","TC-233: search mode shows the 'all orders' banner and Clear Search restores the date-range list","dashboard","2026-08-18","passed","2026-08-18","Owner — Orders Tab","","",""
