"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","0","15","","0"
"0","","1","Owner Orders","34","0","","0"
"0","","0","Menu API Contract","25","0","","0"
"0","","0","Owner Deals","16","0","","0"
"0","","0","Deals API Contract","27","0","","0"
"0","","0","Deals → Storefront","5","0","","0"
"0","","0","Owner Publish","0","2","","0"
"0","","0","Admin / User Management","21","0","","0"
"0","","0","Owner Menu Management","21","2","","0"
"0","","6","Customer Ordering","26","3","","0"
"0","","0","Owner Daily Report","2","0","","0"
"0","","0","Admin Chains","4","0","","0"
"0","","4","Demo Request Flow","10","0","","0"
"0","","0","Owner Payment Settings","9","0","","0"
"0","","0","Chain Menu","12","0","","0"
"0","","1","Owner Orders API","6","0","","0"
"0","","0","Access Control","8","1","","0"
"0","","3","Owner Analytics","1","0","","0"
"0","","0","Admin Marketing Automations","7","1","","0"
"0","","0","Owner Coupons","27","0","","0"
"0","","0","Public Sign In","3","0","","0"
"0","","0","API Negative Cases","6","0","","0"
"0","","0","POS Free Delivery","3","0","","0"
"0","","0","Owner Marketing Automations","3","0","","0"
"0","","0","Owner Subscription","2","0","","0"
"0","","0","Owner Menu Availability","6","0","","0"
"0","","0","Menu → Storefront","3","0","","0"
"0","","0","Owner Customers","3","0","","0"
"0","","0","Admin Restaurants","1","0","","0"
"0","","0","Admin Marketing Campaigns","4","0","","0"
"0","","0","Owner Restaurant Management","5","0","","0"
"0","","0","Owner Uber Eats Settings","2","0","","0"
"0","","0","Public Sign Up","4","0","","0"
"0","","0","Chain Deals","2","0","","0"
"0","","0","Owner Settings","2","0","","0"
"0","","0","POS Order Lifecycle","1","0","","0"
"0","","0","Customer Gift Cards","3","0","","0"
