"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Customer Ordering","31","3","","0"
"0","","0","Admin / User Management","3","0","","0"
"0","","3","","0","46","","0"
"0","","2","Owner Coupons","25","0","","0"
"0","","2","Owner Payment Settings","8","0","","0"
"0","","0","Public Sign In","3","0","","0"
"0","","0","Admin Marketing Automations","8","0","","0"
"0","","0","Public Sign Up","4","0","","0"
"0","","0","Demo Request Flow","14","0","","0"
"0","","0","Owner Publish","0","2","","0"
"0","","0","API Negative Cases","6","0","","0"
"0","","0","Admin Marketing Campaigns","4","0","","0"
"0","","0","Owner Analytics","4","0","","0"
"0","","0","Owner Marketing Automations","3","0","","0"
"0","","0","Access Control","8","1","","0"
"0","","1","Owner Menu Management","1","0","","0"
"0","","0","Customer Gift Cards","3","0","","0"
"0","","0","Owner Customers","3","0","","0"
"0","","0","Owner Restaurant Management","5","0","","0"
"0","","0","Owner Daily Report","2","0","","0"
"0","","0","Owner Deals","2","0","","0"
"0","","0","Owner Subscription","2","0","","0"
"0","","0","Owner Settings","2","0","","0"
"0","","0","Admin Restaurants","1","0","","0"
"0","","0","Owner Uber Eats Settings","2","0","","0"
"0","","0","POS Free Delivery","3","0","","0"
"0","","0","POS Order Lifecycle","1","0","","0"
