"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"A minOrderAmount coupon applies while two cart lines clear the minimum; removing one line triggers CouponSection's debounced revalidation, the backend 400s ('Order must be at least $X'), and the coupon is auto-removed with an explanatory error.","5915","TC-187: a coupon is auto-removed when the cart drops below its minimum order amount","customer","2026-08-01","passed","2026-08-01","Customer — Checkout coupon revalidation","","",""
"A maxSelections=2 checkbox group: after two selections the third, unchecked option is disabled (and un-checking frees it again).","2733","TC-191: maxSelections caps a multi-select group — remaining options disable at the cap","customer","2026-08-01","passed","2026-08-01","Customer — Item Modifiers","","",""
"MenuPage's landing-page deep link: /menu?restaurantId=<id>&item=<itemId> auto-opens the item modal (and scrolls to its group) once the menu loads — no card click needed.","2382","TC-184: the ?item= deep link auto-opens that item's modal","customer","2026-08-01","passed","2026-08-01","Customer — Menu Browsing","","",""
"Full happy path: pre-seeded cart → fill form → Proceed to Payment → fill Stripe VISA test card → Complete Order → Order Confirmed page.","12246","TC-26: customer can complete a full order with Stripe test card and reach Order Confirmed","customer","2026-08-01","passed","2026-08-01","Customer — Order Placement","","",""
"A FREE_DELIVERY coupon with a $1 fee cap on a delivery order whose fee exceeds $1: only $1 is waived, so the order total drops by exactly the cap (not the whole fee) and the fee row does not read 'Free'. Skips cleanly on the same external-dependency conditions as TC-215.","14735","TC-218: a fee cap limits the waiver to the capped amount","customer","2026-08-01","skipped","2026-08-01","Customer — Free-delivery coupon","","",""
"With a $0.25 item (server-quoted total lands between $0.01 and $0.49), checkout disables the proceed button — label 'Minimum $0.50 Required' — and shows the explainer banner. No order is created.","2723","TC-188: a quoted total under Stripe's $0.50 minimum blocks payment","customer","2026-08-01","passed","2026-08-01","Customer — Checkout Stripe minimum","","",""
"Unauthenticated customer navigates to /menu?restaurantId=<id> and the page loads.","1618","TC-22: customer can reach the menu page for the seed restaurant","customer","2026-08-01","passed","2026-08-01","Customer — Menu Browsing","","",""
"","1","TC-165: guest purchases a gift card as a Send-as-Gift preset denomination","customer","2026-08-01","skipped","2026-08-01","Customer — Gift Cards","","",""
"","1","TC-166: guest purchases a gift card with a custom amount","customer","2026-08-01","skipped","2026-08-01","Customer — Gift Cards","","",""
"Opening /deals/<id> auto-adds the deal to the cart and shows per-slot progress ('0 of 1 items added'); picking the slot item via 'Add to Deal' completes it ('Deal Complete!') and checkout offers the normal Proceed to Payment button.","4564","TC-195: the deal builder auto-adds the deal and completing its slot enables checkout","customer","2026-08-01","passed","2026-08-01","Customer — Deals","","",""
"Checking the balance of a code that doesn't exist shows 'Card not found or invalid code'.","2892","TC-170: balance check shows not-found for a nonexistent code","customer","2026-08-01","passed","2026-08-01","Customer — Gift Cards","","",""
"Select Delivery, resolve a fee quote, then apply the free-delivery code: the coupon applies and the order summary shows the delivery fee waived ('Free'). Skips cleanly when the restaurant is pickup-only, Google Places yields no suggestion, or delivery is not available at the address (external dependencies, mirroring TC-126).","15018","TC-215: on a delivery order the code waives the fee and shows Free","customer","2026-08-01","skipped","2026-08-01","Customer — Free-delivery coupon","","",""
"FREE_DELIVERY is delivery-only: applying the code while the order is Pickup sends serviceType to validate and the backend rejects it with a delivery-only message — no discount, no $0.00 'saving'.","2166","TC-214: a free-delivery code is rejected on a pickup order","customer","2026-08-01","passed","2026-08-01","Customer — Free-delivery coupon","","",""
"Applying a freshly purchased, fully-funded gift card at checkout shows the 'Gift card applied' discount summary in the Gift Card box.","3427","TC-171: a valid gift card applied at checkout shows the discount","customer","2026-08-01","passed","2026-08-01","Customer — Checkout gift card","","",""
"REPLACES_PRICE size group on a $10.00 item: the default Small ($8.00) prices the item at $8.00; switching to Large reprices to $12.00 — the base price is replaced, not adjusted.","2424","TC-193: a REPLACES_PRICE modifier overrides the base price","customer","2026-08-01","passed","2026-08-01","Customer — Item Modifiers","","",""
"Typing a custom amount above the restaurant's configured maximum shows an inline error and does not advance to payment.","2517","TC-168: a custom amount above the maximum is rejected","customer","2026-08-01","passed","2026-08-01","Customer — Gift Cards","","",""
"Typing a custom amount below the restaurant's configured minimum shows an inline error and does not advance to payment.","2437","TC-167: a custom amount below the minimum is rejected","customer","2026-08-01","passed","2026-08-01","Customer — Gift Cards","","",""
"The customer coupon-redemption path (previously untested): applying the seeded percentage coupon at checkout shows the discount in the order summary; a bogus code is rejected with an error and no discount.","5279","TC-125: a valid coupon applied at checkout shows the discount, an invalid one is rejected","customer","2026-08-01","passed","2026-08-01","Customer — Checkout coupon & delivery","","",""
"Quote-wiring coverage for delivery (not a full delivery order — that needs QA's delivery provider + a deliverable address): selecting Delivery and entering an address fires /api/delivery/quote and the UI resolves to either an available fee or a not-available message. Skips cleanly when the restaurant is pickup-only or Google Places yields no suggestion (external dependency).","13866","TC-126: selecting Delivery drives the address → quote round-trip","customer","2026-08-01","skipped","2026-08-01","Customer — Checkout coupon & delivery","","",""
"After applying a gift card, clicking Remove clears the 'Gift card applied' summary and returns to the code-entry state.","3042","TC-172: removing an applied gift card clears the discount","customer","2026-08-01","passed","2026-08-01","Customer — Checkout gift card","","",""
"Selecting an allowsDuplicates modifier reveals its Qty stepper; bumping quantity to 2 doubles that modifier's contribution ($10.00 + 2 × $1.50 = $13.00).","2882","TC-194: an allowsDuplicates modifier's quantity stepper multiplies its price","customer","2026-08-01","passed","2026-08-01","Customer — Item Modifiers","","",""
"Customer fills First Name, Last Name, Email, Phone, selects Pickup, and clicks Proceed to Payment. Stripe payment section appears.","5559","TC-25: customer can fill checkout form and proceed to payment step","customer","2026-08-01","passed","2026-08-01","Customer — Checkout","","",""
