"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Owner expands the Deals flyout section in the sidebar and clicks Manage Deals, landing on ?tab=deals with the Manage Deals heading visible.","3595","TC-86: owner can reach the Manage Deals tab","dashboard","2026-08-17","passed","2026-08-17","Owner — Deals","","",""
"","3682","TC-44: owner can delete a menu item","dashboard","2026-08-17","skipped","2026-08-17","Owner — Menu Management > Category and item CRUD","","",""
"The Order Items table shows the seeded menu item with quantity 1 at its recorded price, the heading counts the items, and the customer's special instructions are shown under Order Information.","3249","TC-241: the detail sheet lists the ordered item, quantity, price and special instructions","dashboard","2026-08-17","passed","2026-08-17","Owner — Orders Tab","","",""
"The frontend doesn't gate gift-card redemption on whether a coupon is already applied (or vice versa) — both discounts show simultaneously. This documents currently-supported behavior; it does not touch the separate canCombineWithCoupons config flag, which isn't enforced by either side today (see TEST_COVERAGE.md's Known Technical Debt).","3774","TC-176: a coupon and a gift card can both be applied to the same order","customer","2026-08-17","passed","2026-08-17","Customer — Checkout gift card","","",""
"Searching the Assign autocomplete for the known ADMIN_EMAIL account, selecting it, and clicking Assign PUTs assignedToId — verified via the response body (the UI doesn't surface the assignee anywhere else).","7712","TC-10: admin can assign a demo request to a team member","dashboard","2026-08-17","passed","2026-08-17","Admin — Demo Request Actions","","",""
"QA email is fully sandboxed (every send lands in the shared Mailpit inbox, never a real customer), so the enabled run-now path is exercised for real: cap the daily pace to 1, enable Win-Back, run it, and — when candidates exist — verify the send row flips SENT and the email arrives in Mailpit. State (enabled flag + caps) is restored afterwards.","1706","TC-210: run-now on an enabled automation queues sends and delivers to the sandbox inbox","dashboard","2026-08-17","passed","2026-08-17","Admin — Marketing automations","","",""
"Filling the sign-up form and submitting redirects off /sign-up to the dashboard home. A fresh self-serve account is role USER (with only VIEW_RESTAURANT) — it does not become OWNER until the account creates a restaurant.","5798","TC-93: a visitor can register a new account","dashboard","2026-08-17","passed","2026-08-17","Public — Sign up","","",""
"Clicking Orders in the portal sidebar loads the orders tab with a search bar and table column headers.","3249","TC-29: owner can navigate to the Orders tab and see the orders search bar","dashboard","2026-08-17","passed","2026-08-17","Owner — Orders Tab","","",""
"","0","TC-180: a user can view/set their POS PIN","dashboard","2026-08-17","skipped","2026-08-17","Staff — Portal","","",""
"Selecting Item Discount as the discount type requires and accepts a menu item selection.","6625","TC-146: owner can create a FIXED_ITEM coupon","dashboard","2026-08-17","passed","2026-08-17","Owner — Coupons","","",""
"After narrowing the Order Status filter, the Reset button returns it to 'All Statuses' so the owner can clear a filter without reloading the page.","5487","TC-133: resetting the filters restores the default status","dashboard","2026-08-17","passed","2026-08-17","Owner — Orders Tab","","",""
"?detailOrderId=<garbage> triggers a lookup that 4xx's; the tab must still render the dashboard and grid with no detail sheet and no uncaught page error.","2918","TC-252: deep-linking to an unknown order id does not break the tab","dashboard","2026-08-17","passed","2026-08-17","Owner — Orders Tab","","",""
"Owner clicks 'Add [Category] Item', completes the 4-step wizard, and verifies the item appears on the menu page.","9033","TC-21: owner can add a menu item to a category","dashboard","2026-08-17","passed","2026-08-17","Owner — Menu Management > Category and item CRUD","","",""
