"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"The one true end-to-end cart path: open the item modal, click Add to Cart, open the cart via the floating View Cart button, and click through to /checkout. Every other checkout test seeds the cart via sessionStorage for speed — this test is the safety net that the real add-to-cart wiring (and the cart storage schema seedCart mimics) actually works.","4915","TC-99: customer can add an item to the cart and reach checkout through the real UI flow","customer","2026-07-19","passed","2026-07-19","Customer — Menu Browsing","","",""
"A customer landing on /checkout without anything in the cart gets the 'Your Cart is Empty' screen instead of the checkout form.","1783","TC-185: /checkout with an empty cart shows the empty-cart message","customer","2026-07-19","passed","2026-07-19","Customer — Checkout","","",""
"A minOrderAmount coupon applies while two cart lines clear the minimum; removing one line triggers CouponSection's debounced revalidation, the backend 400s ('Order must be at least $X'), and the coupon is auto-removed with an explanatory error.","4821","TC-187: a coupon is auto-removed when the cart drops below its minimum order amount","customer","2026-07-19","passed","2026-07-19","Customer — Checkout coupon revalidation","","",""
"Filling in a Stripe DECLINED test card and clicking Complete Order shows a Payment Error on the checkout page instead of reaching Order Confirmed.","8848","TC-64: a declined card shows a payment error and does not place the order","customer","2026-07-19","passed","2026-07-19","Customer — Order Placement","","",""
"Customer clicks the seed menu item card, the item modal opens, and the Add to Cart button is visible.","3948","TC-23: customer can open the seed menu item modal and see Add to Cart button","customer","2026-07-19","passed","2026-07-19","Customer — Menu Browsing","","",""
"A gift card frozen by an admin is rejected at checkout with a 'frozen' error.","2647","TC-175: a frozen gift card is rejected","customer","2026-07-19","passed","2026-07-19","Customer — Checkout gift card","","",""
"A maxSelections=2 checkbox group: after two selections the third, unchecked option is disabled (and un-checking frees it again).","2264","TC-191: maxSelections caps a multi-select group — remaining options disable at the cap","customer","2026-07-19","passed","2026-07-19","Customer — Item Modifiers","","",""
"MenuPage's landing-page deep link: /menu?restaurantId=<id>&item=<itemId> auto-opens the item modal (and scrolls to its group) once the menu loads — no card click needed.","1987","TC-184: the ?item= deep link auto-opens that item's modal","customer","2026-07-19","passed","2026-07-19","Customer — Menu Browsing","","",""
"The frontend doesn't gate gift-card redemption on whether a coupon is already applied (or vice versa) — both discounts show simultaneously. This documents currently-supported behavior; it does not touch the separate canCombineWithCoupons config flag, which isn't enforced by either side today (see TEST_COVERAGE.md's Known Technical Debt).","3667","TC-176: a coupon and a gift card can both be applied to the same order","customer","2026-07-19","passed","2026-07-19","Customer — Checkout gift card","","",""
"Typing a custom amount below the restaurant's configured minimum shows an inline error and does not advance to payment.","2015","TC-167: a custom amount below the minimum is rejected","customer","2026-07-19","passed","2026-07-19","Customer — Gift Cards","","",""
"","1","TC-177: a gift card that fully covers the order completes without a Stripe step","customer","2026-07-19","skipped","2026-07-19","Customer — Checkout gift card","","",""
"Base $10.00 item + $1.50 ADJUSTS_PRICE add-on → the Add to Cart label's live price reads $11.50.","2199","TC-192: an ADJUSTS_PRICE modifier adds its price to the item total","customer","2026-07-19","passed","2026-07-19","Customer — Item Modifiers","","",""
"After applying a gift card, clicking Remove clears the 'Gift card applied' summary and returns to the code-entry state.","2891","TC-172: removing an applied gift card clears the discount","customer","2026-07-19","passed","2026-07-19","Customer — Checkout gift card","","",""
"Full happy path: pre-seeded cart → fill form → Proceed to Payment → fill Stripe VISA test card → Complete Order → Order Confirmed page.","12211","TC-26: customer can complete a full order with Stripe test card and reach Order Confirmed","customer","2026-07-19","passed","2026-07-19","Customer — Order Placement","","",""
"Customer fills First Name, Last Name, Email, Phone, selects Pickup, and clicks Proceed to Payment. Stripe payment section appears.","5541","TC-25: customer can fill checkout form and proceed to payment step","customer","2026-07-19","passed","2026-07-19","Customer — Checkout","","",""
"With a deal in the cart, attempting to apply any coupon code is blocked client-side with 'Cannot combine coupons with deals' — the check fires before validation, so no seeded coupon is needed.","3643","TC-197: a coupon cannot be combined with a deal in the cart","customer","2026-07-19","passed","2026-07-19","Customer — Deals","","",""
"Applying a freshly purchased, fully-funded gift card at checkout shows the 'Gift card applied' discount summary in the Gift Card box.","2672","TC-171: a valid gift card applied at checkout shows the discount","customer","2026-07-19","passed","2026-07-19","Customer — Checkout gift card","","",""
"With a $0.25 item (server-quoted total lands between $0.01 and $0.49), checkout disables the proceed button — label 'Minimum $0.50 Required' — and shows the explainer banner. No order is created.","2818","TC-188: a quoted total under Stripe's $0.50 minimum blocks payment","customer","2026-07-19","passed","2026-07-19","Customer — Checkout Stripe minimum","","",""
